trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.4662291813547852, 'e': 0.531750826943791}",20,9,-8.12218876932667,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.46529672299207564, 'e': 0.5290920728090721}",35,12,-40.24525007170612,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 1}",1
128,False,"{'a': 0.46436612954609147, 'e': 0.5264466124450268}",20,15,10.234017179667944,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.4634373972869993, 'e': 0.5238143793828016}",30,3,-151.29173190702272,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 3}",1
130,False,"{'a': 0.4625105224924253, 'e': 0.5211953074858876}",20,0,-109.1157007048488,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
131,False,"{'a': 0.4615855014474404, 'e': 0.5185893309484582}",25,0,10.012688825408578,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
132,False,"{'a': 0.4606623304445455, 'e': 0.5159963842937159}",20,8,-38.63865670437124,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.45974100578365645, 'e': 0.5134164023722473}",20,9,-42.63482134586,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
134,False,"{'a': 0.4588215237720891, 'e': 0.510849320360386}",25,0,-139.77069446069052,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",0
135,False,"{'a': 0.45790388072454496, 'e': 0.5082950737585841}",20,0,1.6680851750902477,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
136,False,"{'a': 0.45698807296309585, 'e': 0.5057535983897912}",20,6,1.9912327327325527,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
137,False,"{'a': 0.45607409681716965, 'e': 0.5032248303978422}",20,15,0.6632449668038756,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.4551619486235353, 'e': 0.500708706245853}",20,10,-29.082099627166812,"{0: 8, 1: 0, 2: 0, 3: 2, 4: 0}",1
139,False,"{'a': 0.4542516247262883, 'e': 0.4982051627146237}",20,6,-99.15252906740277,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 2}",1
140,False,"{'a': 0.4533431214768357, 'e': 0.49571413690105054}",35,17,1.8522134536854098,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
141,False,"{'a': 0.45243643523388205, 'e': 0.4932355662165453}",20,14,-12.183872260413718,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.4515315623634143, 'e': 0.4907693883854626}",20,8,-62.58150771265236,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
143,False,"{'a': 0.4506284992386875, 'e': 0.4883155414435353}",20,3,-7.253419424730968,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
144,False,"{'a': 0.4497272422402101, 'e': 0.4858739637363176}",20,10,17.450810911459577,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.4488277877557297, 'e': 0.483444593917636}",25,9,-16.082981046037762,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
146,False,"{'a': 0.4479301321802182, 'e': 0.4810273709480478}",25,0,-66.6194412786053,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 2}",0
147,False,"{'a': 0.44703427191585776, 'e': 0.47862223409330756}",20,0,-2.8745268964633612,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
148,False,"{'a': 0.44614020337202603, 'e': 0.47622912292284103}",30,0,-128.45174593462013,"{0: 23, 1: 2, 2: 1, 3: 1, 4: 3}",0
149,False,"{'a': 0.445247922965282, 'e': 0.4738479773082268}",20,0,-84.69187968154661,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
150,False,"{'a': 0.44435742711935144, 'e': 0.47147873742168567}",20,11,-0.08203680360575505,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.44346871226511275, 'e': 0.46912134373457726}",30,4,19.173742719221828,"{0: 23, 1: 2, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.44258177484058253, 'e': 0.46677573701590436}",30,3,-82.30472894546436,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 2}",1
153,False,"{'a': 0.4416966112909014, 'e': 0.46444185833082485}",25,6,-11.74365635777152,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.4408132180683196, 'e': 0.46211964903917074}",25,15,6.480547757275185,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.43993159163218293, 'e': 0.4598090507939749}",25,7,-5.689707447522968,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
156,False,"{'a': 0.43905172844891854, 'e': 0.457510005540005}",20,0,-56.74546364640272,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
157,False,"{'a': 0.4381736249920207, 'e': 0.45522245551230495}",20,9,-5.59379665594453,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.4372972777420367, 'e': 0.4529463432347434}",20,9,-5.127920101998095,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.43642268318655264, 'e': 0.4506816115185697}",30,6,-15.018547731530035,"{0: 19, 1: 4, 2: 0, 3: 1, 4: 0}",1
160,False,"{'a': 0.43554983782017953, 'e': 0.4484282034609769}",20,11,-12.986345896183128,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.43467873814453917, 'e': 0.446186062443672}",35,14,-41.618536316326455,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 1}",1
162,False,"{'a': 0.4338093806682501, 'e': 0.4439551321314536}",25,10,4.0539613661923495,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.4329417619069136, 'e': 0.4417353564707963}",25,4,3.138469493611344,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
164,False,"{'a': 0.43207587838309974, 'e': 0.43952667968844233}",25,0,-93.27364351118887,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",1
165,False,"{'a': 0.43121172662633356, 'e': 0.43732904629000013}",20,0,-17.250797352481655,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
166,False,"{'a': 0.4303493031730809, 'e': 0.4351424010585501}",25,14,-21.060950510456994,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
167,False,"{'a': 0.4294886045667347, 'e': 0.43296668905325736}",20,0,-66.06195687938614,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
168,False,"{'a': 0.42862962735760124, 'e': 0.43080185560799106}",20,0,-82.48007817550558,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
169,False,"{'a': 0.42777236810288605, 'e': 0.4286478463299511}",20,0,-73.83512361858382,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
170,False,"{'a': 0.4269168233666803, 'e': 0.42650460709830135}",25,17,7.793672488940893,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.42606298971994694, 'e': 0.42437208406280985}",20,10,4.478046934153959,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.42521086374050704, 'e': 0.4222502236424958}",25,16,8.878272299932307,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
